Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;CAS-nummer;Eenheid.code;Hoedanigheid.code;Compartiment.code;KRWwatertype.code;GeoObject.identificatie;Waardebewerkingmethode.code;Begindatum;Einddatum;Zeer goed;Goed;Matig;Ontoereikend;Slecht;Referentie goed;Referentie slecht;Bijzondere Omstandigheid
MASSFTE;Massafractie;VIS_gildeZ12;Visgilde - chloridetolerante soort (Z1+Z2);NVT;%;NVT;OW;M31;;BER;2000-01-01;;>=8.00 EN <=100;>=6 EN <8;>=4 EN <4;>=2 EN <4;>=0 EN <2;>=10;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeCA;Visgilde - diadrome soort zoute wateren (CA);NVT;%;NVT;OW;M32;;BER;2000-01-01;;>=8.00 EN <=100;>=6 EN <8;>=4 EN <4;>=2 EN <4;>=0 EN <2;>=10;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeER;Visgilde - estuarien residente soort (ER);NVT;%;NVT;OW;M32;;BER;2000-01-01;;>=8.00 EN <=100;>=6 EN <8;>=4 EN <6;>=2 EN <4;>=0 EN <2;>=10;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeMJS;Visgilde - mariene juveniel/seizoensgast (MJ+MS);NVT;%;NVT;OW;M32;;BER;2000-01-01;;>=15.0 EN <=100;>=10 EN <15;>=5.0 EN <10;>=2 EN <5;>=0 EN <2;>=20;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeZ12;Visgilde - chloridetolerante soort (Z1+Z2);NVT;%;NVT;OW;M32;;BER;2000-01-01;;>=8.00 EN <=100;>=6 EN <8;>=4 EN <6;>=2 EN <4;>=0 EN <2;>=10;<=0;VISrelMs
MASSFTE;Massafractie;VIS_ABRMBRAM;Abramis brama;NVT;%;NVT;OW;M5;;BER;2000-01-01;;>=0 EN <=10;>10 EN <=20;>20 EN <=40;>40 EN <=60;>60.0 EN <=100;<=5.0;>=100;VISrelMs
MASSFTE;Massafractie;VIS_groepBB;Visgroep - baars en blankvoorn (BB);NVT;%;NVT;OW;M5;;BER;2000-01-01;;>=25.0 EN <=100;>=20 EN <25;>=15 EN <20;>=10 EN <15;>=0 EN <10;>=30;<=0;VISrelMs_EU
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M5;;BER;2000-01-01;;>=55.0 EN <=100;>=35 EN <55;>=20 EN <35;>=8.0 EN <20;>=0 EN <8;>=70;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeO2;Visgilde - zuurstoftolerante soort (O2);NVT;%;NVT;OW;M5;;BER;2000-01-01;;>=15.0 EN <=100;>=10 EN <15;>=3.0 EN <10;>=1 EN <3;>=0 EN <1;>=20;<=0;VISrelMs
MASSFTE;Massafractie;VIS_ABRMBRAM;Abramis brama;NVT;%;NVT;OW;M11;;BER;2000-01-01;;>=0 EN <=2;>2 EN <=8;>8.0 EN <=25;>25 EN <=50;>50.0 EN <=100;<=0.50;>=100;VISrelMs
