Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;CAS-nummer;Eenheid.code;Hoedanigheid.code;Compartiment.code;KRWwatertype.code;GeoObject.identificatie;Waardebewerkingmethode.code;Begindatum;Einddatum;Zeer goed;Goed;Matig;Ontoereikend;Slecht;Referentie goed;Referentie slecht;Bijzondere Omstandigheid
AANTPVLME;Aantal per volume;FYT_bloei15;Fytopl. - bloeisoort (15) klein Chlorococcales soortenrijk;NVT;n/ml;cel;OW;M14;;GEM;2000-01-01;;;;>20000;;;;;
AANTPVLME;Aantal per volume;FYT_bloei15;Fytopl. - bloeisoort (15) klein Chlorococcales soortenrijk;NVT;n/ml;cel;OW;M20;;GEM;2000-01-01;;;;>20000;;;;;
AANTPVLME;Aantal per volume;FYT_bloei15;Fytopl. - bloeisoort (15) klein Chlorococcales soortenrijk;NVT;n/ml;cel;OW;M23;;GEM;2000-01-01;;;;>20000;;;;;
AANTPVLME;Aantal per volume;FYT_bloei15;Fytopl. - bloeisoort (15) klein Chlorococcales soortenrijk;NVT;n/ml;cel;OW;M27;;GEM;2000-01-01;;;;>20000;;;;;
AANTPVLME;Aantal per volume;FYT_bloei15;Fytopl. - bloeisoort (15) klein Chlorococcales soortenrijk;NVT;n/ml;cel;OW;M30;;GEM;2000-01-01;;;;>20000;;;;;
AANTPVLME;Aantal per volume;FYT_bloei16;Fytopl. - bloeisoort (16) Anabaenopsis;NVT;n/ml;cel;OW;M30;;GEM;2000-01-01;;;;>100000;;;;;
AANTPVLME;Aantal per volume;FYT_bloei17;Fytopl. - bloeisoort (17-18) Prymnesium;NVT;n/ml;cel;OW;M30;;GEM;2000-01-01;;;>10000;>60000;;;;;
AANTPVLME;Aantal per volume;FYT_bloei19;Fytopl. - bloeisoort (19) kleine Cryptophyceae;NVT;n/ml;cel;OW;M3;;GEM;2000-01-01;;;;>10000;;;;;
AANTPVLME;Aantal per volume;FYT_bloei19;Fytopl. - bloeisoort (19) kleine Cryptophyceae;NVT;n/ml;cel;OW;M4;;GEM;2000-01-01;;;;>10000;;;;;
AANTPVLME;Aantal per volume;FYT_bloei19;Fytopl. - bloeisoort (19) kleine Cryptophyceae;NVT;n/ml;cel;OW;M6a;;GEM;2000-01-01;;;;>10000;;;;;
AANTPVLME;Aantal per volume;FYT_bloei19;Fytopl. - bloeisoort (19) kleine Cryptophyceae;NVT;n/ml;cel;OW;M6b;;GEM;2000-01-01;;;;>10000;;;;;
AANTPVLME;Aantal per volume;FYT_bloei19;Fytopl. - bloeisoort (19) kleine Cryptophyceae;NVT;n/ml;cel;OW;M7a;;GEM;2000-01-01;;;;>10000;;;;;
AANTPVLME;Aantal per volume;FYT_bloei19;Fytopl. - bloeisoort (19) kleine Cryptophyceae;NVT;n/ml;cel;OW;M7b;;GEM;2000-01-01;;;;>10000;;;;;
