"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","GeoObject.identificatie","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100100051,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei7","Fytopl. - bloeisoort (07-08) Microcystis","NVT","n/ml","cel","OW","M7b","","GEM","2000-01-01",NA,""
100100052,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei7","Fytopl. - bloeisoort (07-08) Microcystis","NVT","n/ml","cel","OW","M10","","GEM","2000-01-01",NA,""
100100053,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei7","Fytopl. - bloeisoort (07-08) Microcystis","NVT","n/ml","cel","OW","M12","","GEM","2000-01-01",NA,""
100100054,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei7","Fytopl. - bloeisoort (07-08) Microcystis","NVT","n/ml","cel","OW","M14","","GEM","2000-01-01",NA,""
100100055,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei7","Fytopl. - bloeisoort (07-08) Microcystis","NVT","n/ml","cel","OW","M20","","GEM","2000-01-01",NA,""
100100056,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei7","Fytopl. - bloeisoort (07-08) Microcystis","NVT","n/ml","cel","OW","M23","","GEM","2000-01-01",NA,""
100100057,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei7","Fytopl. - bloeisoort (07-08) Microcystis","NVT","n/ml","cel","OW","M27","","GEM","2000-01-01",NA,""
100100058,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei7","Fytopl. - bloeisoort (07-08) Microcystis","NVT","n/ml","cel","OW","M30","","GEM","2000-01-01",NA,""
100100059,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei9","Fytopl. - bloeisoort (09) Microcystis wesenbergii","NVT","n/ml","cel","OW","M3","","GEM","2000-01-01",NA,""
100100060,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei9","Fytopl. - bloeisoort (09) Microcystis wesenbergii","NVT","n/ml","cel","OW","M4","","GEM","2000-01-01",NA,""
100100061,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei9","Fytopl. - bloeisoort (09) Microcystis wesenbergii","NVT","n/ml","cel","OW","M6a","","GEM","2000-01-01",NA,""
100100062,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei9","Fytopl. - bloeisoort (09) Microcystis wesenbergii","NVT","n/ml","cel","OW","M6b","","GEM","2000-01-01",NA,""
100100063,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei9","Fytopl. - bloeisoort (09) Microcystis wesenbergii","NVT","n/ml","cel","OW","M7a","","GEM","2000-01-01",NA,""
