"ID_classificatie","bron","klasse","ondergrens","bovengrens","incl_onder","incl_boven"
"100100686","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100686","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100686","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100686","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100686","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100687","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100687","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100687","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100687","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100687","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100688","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100688","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100688","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100688","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
