"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","Waardebewerkingmethode.code","Begindatum","Einddatum","Factor.A","Factor.B","Factor.C","Humuspercentage.laag","Humuspercentage.hoog","Bijzondere.Omstandigheid"
100500044,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Ba","barium","7440-39-3","ug/l","nf","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500045,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Be","beryllium","7440-41-7","ug/l","nf","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500046,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","captn","captan","133-06-2","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500047,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","carbdzm","carbendazim","10605-21-7","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500048,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cltlrn","chloortoluron","15545-48-9","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500049,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cr","chroom","7440-47-3","ug/l","nf","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500050,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","dmtn","deltamethrin","52918-63-5","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500051,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","DmtnmdP","dimethenamid-P","163515-14-8","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500052,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Dtann","dithianon","3347-22-6","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500053,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","dodne","dodine","2439-10-3","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500054,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","esfvlrt","esfenvaleraat","66230-04-4","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500055,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","fenamfs","fenamifos","22224-92-6","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500056,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","fenOxcb","fenoxycarb","72490-01-8","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500057,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","heptnfs","heptenofos","23560-59-0","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500058,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","imdcpd","imidacloprid","138261-41-3","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500059,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","lcyhltn","lambda-cyhalothrin","91465-08-6","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
