"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","GeoObject.identificatie","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100300088,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M11",NA,"BER","2000-01-01",NA,"VISrelMs"
100300089,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeO2","Visgilde - zuurstoftolerante soort (O2)","NVT","%","NVT","OW","M11",NA,"BER","2000-01-01",NA,"VISrelMs"
100300090,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_ABRMBRAM","Abramis brama","NVT","%","NVT","OW","M16",NA,"BER","2000-01-01",NA,"VISrelMs"
100300091,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBB","Visgroep - baars en blankvoorn (BB)","NVT","%","NVT","OW","M16",NA,"BER","2000-01-01",NA,"VISrelMs_EU"
100300092,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M16",NA,"BER","2000-01-01",NA,"VISrelMs"
100300093,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeO2","Visgilde - zuurstoftolerante soort (O2)","NVT","%","NVT","OW","M16",NA,"BER","2000-01-01",NA,"VISrelMs"
100300094,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_ABRMBRAM","Abramis brama","NVT","%","NVT","OW","M17",NA,"BER","2000-01-01",NA,"VISrelMs"
100300095,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBB","Visgroep - baars en blankvoorn (BB)","NVT","%","NVT","OW","M17",NA,"BER","2000-01-01",NA,"VISrelMs_EU"
100300096,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M17",NA,"BER","2000-01-01",NA,"VISrelMs"
100300097,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeO2","Visgilde - zuurstoftolerante soort (O2)","NVT","%","NVT","OW","M17",NA,"BER","2000-01-01",NA,"VISrelMs"
